Sentence,Action,Room,Object
head toward the soda by the bathroom,go,bathroom,soda
where is the object close to the parlor,question,living room,unknown
go to the cookies,go,unknown,cookies
identify the peas close to the living room,get,living room,peas
would is the chips in the parlor,question,living room,chips
place an apple around the bedroom,place,bedroom,apple
throw away a banana inside the sitting room,place,living room,banana
put back the soda,place,unknown,soda
would you tell carrots,question,unknown,carrots
clean up the orange inside the parlor,place,living room,orange
store a corn by the pantry,place,kitchen,corn
clean a beverage near the bedroom,place,bedroom,beverage
get some apple around the kitchen,get,kitchen,apple
explain in details object close to the my room,describe,bedroom,unknown
drive over by the banana,go,unknown,banana
question is the soda inside the parlor,question,living room,soda
what is is the thing from the pantry,question,kitchen,unknown
drive over by the orange from the sitting room,go,living room,orange
what are are the banana near the bedroom,question,bedroom,banana
go toward the water,go,unknown,water
what is is the object from the bathroom,question,bathroom,unknown
fetch me a tomato around the bath,get,bathroom,tomato
report everything you see carrots near the parlor,describe,living room,carrots
would are the water in the my room,question,bedroom,water
grab me the orange around the sitting room,get,living room,orange
fetch the corn around the parlor,get,living room,corn
drive over by the cookies around the my room,go,bedroom,cookies
clean the cookies in the bath,place,bathroom,cookies
what is is the water,question,unknown,water
grab me the vegetables inside the bathroom,get,bathroom,vegetables
get me a thing inside the bath,get,bathroom,unknown
drive over to the chips around the my room,go,bedroom,chips
clear the chips around the bath,place,bathroom,chips
what is are the vegetables by the bathroom,question,bathroom,vegetables
place a vegetables,place,unknown,vegetables
present everything you see object by the parlor,describe,living room,unknown
proceed over to the orange,go,unknown,orange
tidy a soda inside the living room,place,living room,soda
what are is the soda inside the bedroom,question,bedroom,soda
head towards the tomato close to the canteen,go,kitchen,tomato
answer are the carrots around the bath,question,bathroom,carrots
answer are the chips around the canteen,question,kitchen,chips
tell every detail cookies,describe,unknown,cookies
specify every detail banana inside the bath,describe,bathroom,banana
move over to the water,go,unknown,water
move by the bedroom,go,bedroom,unknown
proceed over to the chips in the parlor,go,living room,chips
get me some water by the bedroom,get,bedroom,water
specify everything you see orange from the sitting room,describe,living room,orange
put away the chips in the sitting room,place,living room,chips
clear a carrots close to the parlor,place,living room,carrots
head toward the soda near the kitchen,go,kitchen,soda
tell every detail crackers around the bedroom,describe,bedroom,crackers
move by the soda by the pantry,go,kitchen,soda
go by the sitting room,go,living room,unknown
find me some object in the bath,get,bathroom,unknown
tell what you see orange,describe,unknown,orange
answer is the water in the parlor,question,living room,water
clean up a beverage near the sitting room,place,living room,beverage
question you tell object by the bath,question,bathroom,unknown
clear away an object by the kitchen,place,kitchen,unknown
navigate to the apple around the kitchen,go,kitchen,apple
put away a crackers around the my room,place,bedroom,crackers
place the object close to the parlor,place,living room,unknown
put away a banana from the bathroom,place,bathroom,banana
clear a vegetables inside the bedroom,place,bedroom,vegetables
pick up the corn by the bath,get,bathroom,corn
grab me the beverage close to the parlor,get,living room,beverage
fetch me the water near the bedroom,get,bedroom,water
clean the water,place,unknown,water
tidy up a beverage,place,unknown,beverage
take the cookies near the sitting room,place,living room,cookies
put away the crackers,place,unknown,crackers
how you do apple in the bath,question,bathroom,apple
report what you see water close to the parlor,describe,living room,water
grab me a beverage inside the my room,get,bedroom,beverage
put away a crackers near the living room,place,living room,crackers
explain everything you see cookies from the canteen,describe,kitchen,cookies
where is the crackers around the pantry,question,kitchen,crackers
take the water near the pantry,place,kitchen,water
tell what you see chips from the pantry,describe,kitchen,chips
proceed to the bathroom,go,bathroom,unknown
retrieve the water,get,unknown,water
how is the tomato around the canteen,question,kitchen,tomato
question is the water in the bathroom,question,bathroom,water
proceed near the bath,go,bathroom,unknown
would you do beverage by the bath,question,bathroom,beverage
clear away a tuna in the my room,place,bedroom,tuna
tidy up the apple close to the pantry,place,kitchen,apple
fetch me a beverage,get,unknown,beverage
express what's there apple close to the sitting room,describe,living room,apple
specify every detail crackers around the bedroom,describe,bedroom,crackers
could is the chips inside the bedroom,question,bedroom,chips
where you tell tomato near the bedroom,question,bedroom,tomato
tell in details thing by the kitchen,describe,kitchen,unknown
move toward the bedroom,go,bedroom,unknown
express what's there orange,describe,unknown,orange
grab me the apple close to the kitchen,get,kitchen,apple
put away a thing by the bedroom,place,bedroom,unknown
put back a crackers by the bath,place,bathroom,crackers
grab me some orange close to the my room,get,bedroom,orange
describe everything you see water,describe,unknown,water
tell every detail corn close to the bathroom,describe,bathroom,corn
tell everything you see soda in the bathroom,describe,bathroom,soda
tidy the crackers near the bath,place,bathroom,crackers
bring the crackers near the living room,get,living room,crackers
tidy up the crackers around the sitting room,place,living room,crackers
express in details vegetables inside the my room,describe,bedroom,vegetables
put back a chips by the parlor,place,living room,chips
present every detail soda,describe,unknown,soda
clear away an orange around the bath,place,bathroom,orange
grab some crackers around the living room,get,living room,crackers
specify what's there cookies inside the canteen,describe,kitchen,cookies
would you do apple near the canteen,question,kitchen,apple
clear away a water in the bath,place,bathroom,water
look for an orange close to the living room,get,living room,orange
locate some crackers in the kitchen,get,kitchen,crackers
find a chips,get,unknown,chips
clean the corn in the bedroom,place,bedroom,corn
bring the carrots inside the bath,get,bathroom,carrots
specify what you see crackers inside the bathroom,describe,bathroom,crackers
where are the tuna around the bedroom,question,bedroom,tuna
would is the item in the my room,question,bedroom,unknown
store a banana inside the sitting room,place,living room,banana
specify in details crackers in the bathroom,describe,bathroom,crackers
locate a soda inside the living room,get,living room,soda
tell what you see apple inside the bathroom,describe,bathroom,apple
drive to the carrots,go,unknown,carrots
where is the crackers by the my room,question,bedroom,crackers
go near the peas in the canteen,go,kitchen,peas
proceed toward the vegetables near the bathroom,go,bathroom,vegetables
tidy up a thing near the parlor,place,living room,unknown
what are you tell soda from the pantry,question,kitchen,soda
bring the apple by the living room,get,living room,apple
go toward the chips around the my room,go,bedroom,chips
what is you do orange inside the canteen,question,kitchen,orange
would are the cookies in the kitchen,question,kitchen,cookies
place the apple near the bathroom,place,bathroom,apple
answer are the item around the parlor,question,living room,unknown
get me the crackers,get,unknown,crackers
find a beverage around the parlor,get,living room,beverage
proceed to the banana in the sitting room,go,living room,banana
proceed near the bathroom,go,bathroom,unknown
what are you do cookies around the canteen,question,kitchen,cookies
throw out the carrots from the canteen,place,kitchen,carrots
would are the orange close to the kitchen,question,kitchen,orange
what is is the orange by the living room,question,living room,orange
take a vegetables,place,unknown,vegetables
present what you see soda in the bedroom,describe,bedroom,soda
fetch some thing around the sitting room,get,living room,unknown
navigate toward the cookies,go,unknown,cookies
grab the apple inside the living room,get,living room,apple
present every detail chips inside the living room,describe,living room,chips
clean a banana by the bath,place,bathroom,banana
how you tell chips close to the pantry,question,kitchen,chips
bring some banana,get,unknown,banana
bring me a tuna near the canteen,get,kitchen,tuna
answer you do beverage inside the bedroom,question,bedroom,beverage
proceed over to the crackers inside the canteen,go,kitchen,crackers
go by the soda around the parlor,go,living room,soda
drive toward the crackers,go,unknown,crackers
move over to the water,go,unknown,water
what is is the crackers from the pantry,question,kitchen,crackers
question are the crackers,question,unknown,crackers
would are the apple by the bedroom,question,bedroom,apple
find me an orange,get,unknown,orange
take the peas around the bedroom,place,bedroom,peas
could is the chips near the my room,question,bedroom,chips
would you do thing around the canteen,question,kitchen,unknown
find me some orange from the living room,get,living room,orange
head over by the tomato in the canteen,go,kitchen,tomato
clean a tuna in the bedroom,place,bedroom,tuna
question you tell water near the sitting room,question,living room,water
locate a banana from the parlor,get,living room,banana
tidy a beverage near the sitting room,place,living room,beverage
question you tell apple near the bath,question,bathroom,apple
could are the thing around the bathroom,question,bathroom,unknown
where you tell crackers from the bedroom,question,bedroom,crackers
describe in details peas in the my room,describe,bedroom,peas
navigate by the corn around the my room,go,bedroom,corn
head by the orange around the my room,go,bedroom,orange
go towards the orange from the sitting room,go,living room,orange
specify in details tuna in the bathroom,describe,bathroom,tuna
store the crackers in the canteen,place,kitchen,crackers
identify some object inside the bathroom,get,bathroom,unknown
put back the orange around the canteen,place,kitchen,orange
store a chips,place,unknown,chips
look for some carrots,get,unknown,carrots
answer you tell item around the kitchen,question,kitchen,unknown
get the item close to the canteen,get,kitchen,unknown
clean a thing by the bathroom,place,bathroom,unknown
what is you do item by the bathroom,question,bathroom,unknown
clean a banana near the bath,place,bathroom,banana
tidy a water,place,unknown,water
tidy the item by the living room,place,living room,unknown
question is the tomato inside the my room,question,bedroom,tomato
get a water by the bathroom,get,bathroom,water
present every detail orange,describe,unknown,orange
head to the my room,go,bedroom,unknown
clear away the tuna inside the my room,place,bedroom,tuna
clean a soda from the my room,place,bedroom,soda
locate some vegetables around the pantry,get,kitchen,vegetables
how you do water around the bath,question,bathroom,water
specify everything you see banana from the my room,describe,bedroom,banana
express what's there orange by the my room,describe,bedroom,orange
move near the chips close to the living room,go,living room,chips
bring the banana,get,unknown,banana
look for the beverage close to the living room,get,living room,beverage
present everything you see banana,describe,unknown,banana
find the tuna inside the bath,get,bathroom,tuna
pick up an object around the living room,get,living room,unknown
proceed over by the banana around the living room,go,living room,banana
tidy an apple from the parlor,place,living room,apple
tidy up an orange around the sitting room,place,living room,orange
head to the crackers inside the my room,go,bedroom,crackers
throw out a water around the living room,place,living room,water
drive over by the crackers by the bathroom,go,bathroom,crackers
specify in details corn by the sitting room,describe,living room,corn
would are the orange close to the my room,question,bedroom,orange
where are the crackers near the sitting room,question,living room,crackers
tidy the apple near the my room,place,bedroom,apple
retrieve an item close to the bathroom,get,bathroom,unknown
retrieve some corn,get,unknown,corn
explain everything you see chips inside the pantry,describe,kitchen,chips
tell what you see thing in the bedroom,describe,bedroom,unknown
store a soda by the sitting room,place,living room,soda
move toward the soda,go,unknown,soda
specify in details beverage close to the bathroom,describe,bathroom,beverage
drive over by the apple near the my room,go,bedroom,apple
answer you tell item around the bedroom,question,bedroom,unknown
question are the banana from the parlor,question,living room,banana
go toward the apple from the bathroom,go,bathroom,apple
navigate near the banana,go,unknown,banana
put away a soda near the parlor,place,living room,soda
proceed to the peas inside the sitting room,go,living room,peas
grab me some beverage in the bedroom,get,bedroom,beverage
retrieve some object inside the bath,get,bathroom,unknown
tidy up an orange by the bedroom,place,bedroom,orange
search for a beverage in the pantry,get,kitchen,beverage
fetch me some chips by the canteen,get,kitchen,chips
answer you do crackers in the canteen,question,kitchen,crackers
find some beverage in the sitting room,get,living room,beverage
proceed over by the orange in the living room,go,living room,orange
put away an orange from the living room,place,living room,orange
grab me the object near the bath,get,bathroom,unknown
fetch some soda by the pantry,get,kitchen,soda
go near the peas in the parlor,go,living room,peas
specify what you see orange in the bathroom,describe,bathroom,orange
clean up the soda from the pantry,place,kitchen,soda
retrieve the soda inside the my room,get,bedroom,soda
report everything you see vegetables near the bedroom,describe,bedroom,vegetables
what are you do object inside the bedroom,question,bedroom,unknown
what are you do cookies,question,unknown,cookies
take the water from the my room,place,bedroom,water
clean the vegetables inside the bath,place,bathroom,vegetables
grab some peas close to the kitchen,get,kitchen,peas
clear away an object by the parlor,place,living room,unknown
throw out an object near the parlor,place,living room,unknown
take an object near the parlor,place,living room,unknown
how are the vegetables in the bathroom,question,bathroom,vegetables
where is the thing inside the pantry,question,kitchen,unknown
explain what you see water inside the kitchen,describe,kitchen,water
take the item by the sitting room,place,living room,unknown
explain in details apple by the bathroom,describe,bathroom,apple
look for some banana in the living room,get,living room,banana
explain in details chips,describe,unknown,chips
report in details object around the sitting room,describe,living room,unknown
proceed toward the orange,go,unknown,orange
bring me an orange from the bath,get,bathroom,orange
what are you tell crackers,question,unknown,crackers
tell in details tuna close to the bedroom,describe,bedroom,tuna
proceed by the bath,go,bathroom,unknown
put back an apple in the bedroom,place,bedroom,apple
explain what you see item around the pantry,describe,kitchen,unknown
could you do peas from the bedroom,question,bedroom,peas
look for the tuna in the kitchen,get,kitchen,tuna
take a tomato by the pantry,place,kitchen,tomato
fetch some beverage,get,unknown,beverage
fetch me some peas near the living room,get,living room,peas
take the item near the bedroom,place,bedroom,unknown
take an object near the bath,place,bathroom,unknown
express everything you see chips near the bathroom,describe,bathroom,chips
put away a cookies,place,unknown,cookies
answer you do soda near the my room,question,bedroom,soda
get me some banana by the bedroom,get,bedroom,banana
clear the chips by the parlor,place,living room,chips
question are the cookies,question,unknown,cookies
specify everything you see thing close to the pantry,describe,kitchen,unknown
retrieve some chips inside the canteen,get,kitchen,chips
grab a banana around the pantry,get,kitchen,banana
pick up some carrots inside the sitting room,get,living room,carrots
describe everything you see apple near the kitchen,describe,kitchen,apple
navigate toward the banana around the pantry,go,kitchen,banana
present every detail item close to the kitchen,describe,kitchen,unknown
pick up some crackers from the bath,get,bathroom,crackers
specify what's there corn in the kitchen,describe,kitchen,corn
get the carrots around the living room,get,living room,carrots
explain what you see soda around the bathroom,describe,bathroom,soda
store a crackers in the bathroom,place,bathroom,crackers
go over by the tomato from the parlor,go,living room,tomato
navigate over to the beverage by the canteen,go,kitchen,beverage
describe every detail beverage around the pantry,describe,kitchen,beverage
could you do orange,question,unknown,orange
go over to the apple inside the sitting room,go,living room,apple
specify every detail corn by the parlor,describe,living room,corn
identify a thing close to the bath,get,bathroom,unknown
head toward the water in the canteen,go,kitchen,water
throw away a banana,place,unknown,banana
pick up an object in the bedroom,get,bedroom,unknown
throw away the chips near the bedroom,place,bedroom,chips
throw out the banana by the pantry,place,kitchen,banana
could are the item by the bathroom,question,bathroom,unknown
clean up the banana from the bath,place,bathroom,banana
where is the cookies,question,unknown,cookies
go to the banana inside the pantry,go,kitchen,banana
explain what you see chips by the kitchen,describe,kitchen,chips
where are the crackers from the living room,question,living room,crackers
throw out a thing close to the living room,place,living room,unknown
place the soda in the my room,place,bedroom,soda
fetch a crackers,get,unknown,crackers
find me the water around the kitchen,get,kitchen,water
locate the banana around the my room,get,bedroom,banana
express what's there tomato,describe,unknown,tomato
search for the thing close to the living room,get,living room,unknown
what is you tell tomato,question,unknown,tomato
clean a carrots from the bathroom,place,bathroom,carrots
describe everything you see apple near the my room,describe,bedroom,apple
clear a crackers,place,unknown,crackers
retrieve the beverage by the bedroom,get,bedroom,beverage
bring me some cookies around the bath,get,bathroom,cookies
retrieve a thing in the bathroom,get,bathroom,unknown
explain what you see object by the bedroom,describe,bedroom,unknown
tidy a chips inside the my room,place,bedroom,chips
describe everything you see object inside the sitting room,describe,living room,unknown
specify everything you see apple from the bath,describe,bathroom,apple
bring me the soda around the kitchen,get,kitchen,soda
move near the my room,go,bedroom,unknown
go near the chips close to the my room,go,bedroom,chips
answer you tell chips in the parlor,question,living room,chips
clean a water around the kitchen,place,kitchen,water
go near the corn from the canteen,go,kitchen,corn
throw out a thing in the canteen,place,kitchen,unknown
describe what's there soda in the canteen,describe,kitchen,soda
how you tell cookies in the bedroom,question,bedroom,cookies
drive over to the crackers from the my room,go,bedroom,crackers
throw away an object inside the my room,place,bedroom,unknown
drive over to the orange in the pantry,go,kitchen,orange
find me some chips near the sitting room,get,living room,chips
fetch some crackers by the bedroom,get,bedroom,crackers
head towards the pantry,go,kitchen,unknown
fetch a carrots inside the bathroom,get,bathroom,carrots
drive over by the banana close to the sitting room,go,living room,banana
tidy the corn inside the kitchen,place,kitchen,corn
search for some tomato close to the bathroom,get,bathroom,tomato
could you do orange inside the pantry,question,kitchen,orange
would is the banana from the parlor,question,living room,banana
move to the carrots near the pantry,go,kitchen,carrots
specify what you see vegetables,describe,unknown,vegetables
specify what you see banana around the my room,describe,bedroom,banana
report in details crackers inside the living room,describe,living room,crackers
where you do thing by the canteen,question,kitchen,unknown
how are the cookies around the bedroom,question,bedroom,cookies
express in details crackers by the bath,describe,bathroom,crackers
answer you tell soda from the bathroom,question,bathroom,soda
store the tomato around the bathroom,place,bathroom,tomato
how you do apple around the sitting room,question,living room,apple
head near the beverage inside the pantry,go,kitchen,beverage
tell every detail crackers inside the my room,describe,bedroom,crackers
describe what you see cookies around the parlor,describe,living room,cookies
where you do item inside the pantry,question,kitchen,unknown
head by the carrots inside the my room,go,bedroom,carrots
grab me the water inside the kitchen,get,kitchen,water
clean up a thing inside the my room,place,bedroom,unknown
find a water close to the bedroom,get,bedroom,water
get a beverage around the bathroom,get,bathroom,beverage
describe every detail orange by the kitchen,describe,kitchen,orange
throw out the thing in the canteen,place,kitchen,unknown
fetch some chips in the bathroom,get,bathroom,chips
throw away an object in the living room,place,living room,unknown
clean the orange inside the bath,place,bathroom,orange
report what you see banana around the canteen,describe,kitchen,banana
navigate toward the chips,go,unknown,chips
proceed to the beverage,go,unknown,beverage
would are the carrots from the bath,question,bathroom,carrots
clean up the soda close to the my room,place,bedroom,soda
proceed near the beverage,go,unknown,beverage
look for the orange in the canteen,get,kitchen,orange
get an apple by the bedroom,get,bedroom,apple
fetch an object around the sitting room,get,living room,unknown
where is the chips inside the bath,question,bathroom,chips
report every detail item by the bathroom,describe,bathroom,unknown
clean up the peas from the bath,place,bathroom,peas
proceed by the chips around the bath,go,bathroom,chips
go over by the sitting room,go,living room,unknown
identify the orange,get,unknown,orange
search for some soda,get,unknown,soda
head over to the soda around the canteen,go,kitchen,soda
clear a chips around the sitting room,place,living room,chips
navigate over by the tomato around the bath,go,bathroom,tomato
what are you tell object near the bath,question,bathroom,unknown
grab me some tomato around the bath,get,bathroom,tomato
put away a peas close to the kitchen,place,kitchen,peas
specify everything you see corn near the bath,describe,bathroom,corn
how are the apple inside the bedroom,question,bedroom,apple
clean up the apple,place,unknown,apple
how are the banana from the bedroom,question,bedroom,banana
would is the object by the bedroom,question,bedroom,unknown
report what you see object close to the canteen,describe,kitchen,unknown
identify a tuna from the living room,get,living room,tuna
would are the banana from the parlor,question,living room,banana
express in details peas inside the sitting room,describe,living room,peas
report every detail vegetables around the bathroom,describe,bathroom,vegetables
where is the soda close to the bedroom,question,bedroom,soda
look for some beverage close to the bedroom,get,bedroom,beverage
could you do orange near the pantry,question,kitchen,orange
bring me some soda inside the canteen,get,kitchen,soda
describe every detail peas,describe,unknown,peas
answer you do orange in the kitchen,question,kitchen,orange
identify some soda close to the bath,get,bathroom,soda
put back the banana,place,unknown,banana
could is the crackers,question,unknown,crackers
explain every detail crackers near the bathroom,describe,bathroom,crackers
tell everything you see soda,describe,unknown,soda
head over to the soda in the bathroom,go,bathroom,soda
fetch me an item close to the parlor,get,living room,unknown
what are is the beverage in the bathroom,question,bathroom,beverage
explain what you see banana inside the kitchen,describe,kitchen,banana
get some water by the bath,get,bathroom,water
explain every detail orange in the kitchen,describe,kitchen,orange
move to the water from the my room,go,bedroom,water
specify every detail soda near the pantry,describe,kitchen,soda
how you do item in the my room,question,bedroom,unknown
tidy up the vegetables,place,unknown,vegetables
describe in details peas from the bathroom,describe,bathroom,peas
express what you see vegetables around the bath,describe,bathroom,vegetables
go towards the vegetables near the sitting room,go,living room,vegetables
question is the item from the bathroom,question,bathroom,unknown
how are the banana,question,unknown,banana
head toward the corn by the living room,go,living room,corn
tell what's there water from the my room,describe,bedroom,water
answer you do cookies from the living room,question,living room,cookies
navigate near the crackers,go,unknown,crackers
clean the chips from the sitting room,place,living room,chips
go towards the crackers inside the canteen,go,kitchen,crackers
search for some chips in the bedroom,get,bedroom,chips
question is the thing around the bath,question,bathroom,unknown
put away an object close to the pantry,place,kitchen,unknown
what are are the item from the my room,question,bedroom,unknown
store the soda from the bedroom,place,bedroom,soda
present what you see chips by the my room,describe,bedroom,chips
would you tell vegetables from the bath,question,bathroom,vegetables
how you do cookies inside the bedroom,question,bedroom,cookies
retrieve a tomato inside the my room,get,bedroom,tomato
throw away the crackers from the kitchen,place,kitchen,crackers
proceed over by the chips around the canteen,go,kitchen,chips
could are the water,question,unknown,water
place a thing from the my room,place,bedroom,unknown
express everything you see item around the bath,describe,bathroom,unknown
explain what's there tuna in the living room,describe,living room,tuna
bring a vegetables near the canteen,get,kitchen,vegetables
fetch some soda near the sitting room,get,living room,soda
tell every detail object in the bathroom,describe,bathroom,unknown
what are is the crackers,question,unknown,crackers
how are the vegetables inside the bathroom,question,bathroom,vegetables
put away a corn in the bath,place,bathroom,corn
proceed toward the living room,go,living room,unknown
go by the banana near the bedroom,go,bedroom,banana
describe what's there corn inside the bath,describe,bathroom,corn
tidy a soda inside the my room,place,bedroom,soda
navigate toward the parlor,go,living room,unknown
put back the tuna from the bedroom,place,bedroom,tuna
how you do thing from the bathroom,question,bathroom,unknown
put away an item near the living room,place,living room,unknown
explain what you see thing from the bedroom,describe,bedroom,unknown
clean a soda around the canteen,place,kitchen,soda
store a crackers near the kitchen,place,kitchen,crackers
pick up a water from the my room,get,bedroom,water
would are the chips from the kitchen,question,kitchen,chips
present what you see item near the my room,describe,bedroom,unknown
clear the orange close to the kitchen,place,kitchen,orange
head by the apple from the bathroom,go,bathroom,apple
fetch a corn by the sitting room,get,living room,corn
throw out the thing near the bath,place,bathroom,unknown
tidy the banana in the kitchen,place,kitchen,banana
head near the chips in the bedroom,go,bedroom,chips
identify some chips,get,unknown,chips
answer you tell beverage,question,unknown,beverage
head to the canteen,go,kitchen,unknown
present everything you see object inside the living room,describe,living room,unknown
move to the crackers,go,unknown,crackers
grab a chips from the sitting room,get,living room,chips
put away an apple near the canteen,place,kitchen,apple
what are you tell carrots,question,unknown,carrots
describe in details beverage around the sitting room,describe,living room,beverage
clear a cookies from the my room,place,bedroom,cookies
clean up a banana,place,unknown,banana
find me the chips inside the canteen,get,kitchen,chips
answer are the vegetables by the living room,question,living room,vegetables
throw away a beverage close to the parlor,place,living room,beverage
clear a carrots inside the bedroom,place,bedroom,carrots
tidy up the beverage by the bathroom,place,bathroom,beverage
answer you tell tomato,question,unknown,tomato
bring me a soda inside the bedroom,get,bedroom,soda
where you tell soda near the my room,question,bedroom,soda
get a peas near the bath,get,bathroom,peas
answer you tell object in the sitting room,question,living room,unknown
retrieve a tuna by the pantry,get,kitchen,tuna
proceed by the bedroom,go,bedroom,unknown
head towards the tomato from the bathroom,go,bathroom,tomato
how are the item by the kitchen,question,kitchen,unknown
find a water inside the pantry,get,kitchen,water
clean the chips by the bath,place,bathroom,chips
tidy the apple,place,unknown,apple
could is the thing by the living room,question,living room,unknown
where you tell tuna from the canteen,question,kitchen,tuna
find me some tomato inside the bedroom,get,bedroom,tomato
move by the cookies around the my room,go,bedroom,cookies
take a soda in the sitting room,place,living room,soda
tell what's there water in the sitting room,describe,living room,water
question you tell crackers inside the kitchen,question,kitchen,crackers
move over by the banana inside the parlor,go,living room,banana
proceed by the beverage by the sitting room,go,living room,beverage
specify in details peas inside the pantry,describe,kitchen,peas
drive near the canteen,go,kitchen,unknown
express what's there vegetables inside the parlor,describe,living room,vegetables
tell everything you see thing by the kitchen,describe,kitchen,unknown
where you do soda around the bedroom,question,bedroom,soda
where is the beverage near the kitchen,question,kitchen,beverage
what are you tell object around the sitting room,question,living room,unknown
how are the beverage,question,unknown,beverage
look for a tomato inside the bathroom,get,bathroom,tomato
search for the item by the bedroom,get,bedroom,unknown
what is you do crackers,question,unknown,crackers
put back the apple around the sitting room,place,living room,apple
clear away the beverage from the bedroom,place,bedroom,beverage
explain every detail banana by the bath,describe,bathroom,banana
move toward the pantry,go,kitchen,unknown
identify some corn close to the living room,get,living room,corn
find a corn close to the bathroom,get,bathroom,corn
clear the beverage near the pantry,place,kitchen,beverage
proceed near the chips close to the living room,go,living room,chips
where are the object near the bedroom,question,bedroom,unknown
navigate by the sitting room,go,living room,unknown
explain everything you see orange in the bath,describe,bathroom,orange
drive over by the cookies from the pantry,go,kitchen,cookies
head to the chips by the parlor,go,living room,chips
bring me the orange around the living room,get,living room,orange
answer is the vegetables,question,unknown,vegetables
question is the vegetables,question,unknown,vegetables
get an object in the sitting room,get,living room,unknown
describe what's there tuna from the living room,describe,living room,tuna
report in details carrots near the sitting room,describe,living room,carrots
move over by the tomato,go,unknown,tomato
store the banana near the canteen,place,kitchen,banana
question is the item near the my room,question,bedroom,unknown
go over by the crackers near the my room,go,bedroom,crackers
drive to the carrots,go,unknown,carrots
go by the crackers around the bathroom,go,bathroom,crackers
retrieve an object by the pantry,get,kitchen,unknown
store the tuna close to the parlor,place,living room,tuna
what are you tell object in the my room,question,bedroom,unknown
report what you see water inside the sitting room,describe,living room,water
clear the vegetables from the my room,place,bedroom,vegetables
identify some apple inside the bedroom,get,bedroom,apple
head near the beverage close to the pantry,go,kitchen,beverage
retrieve a tomato close to the parlor,get,living room,tomato
grab me a water by the sitting room,get,living room,water
throw out the apple in the kitchen,place,kitchen,apple
what are you tell banana close to the pantry,question,kitchen,banana
present in details orange from the my room,describe,bedroom,orange
express what you see beverage by the bath,describe,bathroom,beverage
drive toward the carrots,go,unknown,carrots
navigate over to the corn inside the pantry,go,kitchen,corn
question you tell corn from the bedroom,question,bedroom,corn
present in details apple inside the parlor,describe,living room,apple
store a vegetables around the bedroom,place,bedroom,vegetables
what are is the water,question,unknown,water
would you do soda from the bedroom,question,bedroom,soda
explain what's there apple inside the living room,describe,living room,apple
retrieve the soda,get,unknown,soda
place a corn inside the parlor,place,living room,corn
grab me some soda,get,unknown,soda
tidy the water inside the bath,place,bathroom,water
put away a cookies around the my room,place,bedroom,cookies
clean the apple near the parlor,place,living room,apple
get some soda in the kitchen,get,kitchen,soda
tidy a crackers near the bedroom,place,bedroom,crackers
get me the crackers inside the bathroom,get,bathroom,crackers
put away the crackers close to the pantry,place,kitchen,crackers
would is the beverage,question,unknown,beverage
question is the beverage by the kitchen,question,kitchen,beverage
explain what you see orange around the bathroom,describe,bathroom,orange
go near the banana close to the pantry,go,kitchen,banana
put back the thing by the bedroom,place,bedroom,unknown
put back the banana near the canteen,place,kitchen,banana
go toward the tomato,go,unknown,tomato
head toward the crackers in the my room,go,bedroom,crackers
place the carrots by the living room,place,living room,carrots
express every detail object by the parlor,describe,living room,unknown
head over to the chips near the my room,go,bedroom,chips
could you tell vegetables in the sitting room,question,living room,vegetables
drive by the carrots around the my room,go,bedroom,carrots
head near the soda,go,unknown,soda
place a banana near the my room,place,bedroom,banana
tidy up the cookies in the living room,place,living room,cookies
where you do object close to the living room,question,living room,unknown
throw out the water around the bathroom,place,bathroom,water
specify in details banana close to the pantry,describe,kitchen,banana
navigate over by the water,go,unknown,water
how are the vegetables close to the kitchen,question,kitchen,vegetables
move to the carrots,go,unknown,carrots
explain in details crackers near the sitting room,describe,living room,crackers
get the water around the living room,get,living room,water
identify the carrots inside the my room,get,bedroom,carrots
explain what's there banana close to the parlor,describe,living room,banana
fetch me a vegetables inside the pantry,get,kitchen,vegetables
navigate over by the tuna close to the canteen,go,kitchen,tuna
report what's there banana close to the my room,describe,bedroom,banana
describe in details soda,describe,unknown,soda
clear the tomato near the living room,place,living room,tomato
get me an orange near the living room,get,living room,orange
what are you do water close to the bedroom,question,bedroom,water
tell every detail crackers near the my room,describe,bedroom,crackers
report every detail beverage,describe,unknown,beverage
throw away the peas around the bath,place,bathroom,peas
tidy the vegetables around the bedroom,place,bedroom,vegetables
pick up an apple in the parlor,get,living room,apple
retrieve some thing in the parlor,get,living room,unknown
answer you do peas close to the sitting room,question,living room,peas
explain what's there banana inside the my room,describe,bedroom,banana
throw away the chips in the pantry,place,kitchen,chips
throw out the tomato,place,unknown,tomato
navigate toward the chips around the bathroom,go,bathroom,chips
go over by the tuna by the my room,go,bedroom,tuna
would are the corn inside the bathroom,question,bathroom,corn
present what you see cookies,describe,unknown,cookies
answer you tell orange,question,unknown,orange
store the crackers in the living room,place,living room,crackers
put back the carrots near the my room,place,bedroom,carrots
could are the beverage by the parlor,question,living room,beverage
how you tell crackers from the living room,question,living room,crackers
how is the apple,question,unknown,apple
pick up the cookies from the my room,get,bedroom,cookies
explain in details banana around the sitting room,describe,living room,banana
would you do thing inside the pantry,question,kitchen,unknown
get me a soda in the sitting room,get,living room,soda
tidy up a banana close to the bathroom,place,bathroom,banana
tell what's there soda around the canteen,describe,kitchen,soda
present what you see vegetables by the my room,describe,bedroom,vegetables
